runtime,chunk_seconds,batch,models,rounds,median_batch_seconds_per_minute,median_paired_speedup,peak_mib,normalized_parity
020,15,1,1,3,0.8999,0.9861,1029,True
020,15,2,1,3,0.8355,1.1049,1165,True
020,15,4,1,3,0.7976,1.1209,1432,True
020,15,8,1,3,0.7857,1.1498,1937,True
020,30,1,1,3,0.8985,1.0183,1168,True
020,30,1,2,3,0.7414,1.3328,2229,True
020,30,2,1,3,0.8996,1.044,1420,True
020,30,2,2,3,0.6932,1.3998,2769,True
020,30,4,1,3,0.8326,1.1014,1894,True
020,30,4,2,3,0.6772,1.4131,3731,True
020,30,8,1,3,0.8562,1.1139,2943,True
020,60,1,1,3,1.2797,0.9341,1459,True
020,60,2,1,3,1.2455,0.9973,1964,True
020,60,4,1,3,1.1173,1.0203,2977,True
020,60,8,1,3,1.1439,1.0016,5071,True
023,15,1,1,3,0.6729,1.0016,900,True
023,15,2,1,3,0.6675,1.0539,930,True
023,15,4,1,3,0.6368,1.0601,932,True
023,15,8,1,3,0.6314,1.147,946,True
023,30,1,1,3,0.6782,1.0015,935,True
023,30,1,2,3,0.5659,1.3858,1716,True
023,30,2,1,3,0.6425,1.06,947,True
023,30,2,2,3,0.4772,1.4865,1770,True
023,30,4,1,3,0.6585,1.0867,958,True
023,30,8,1,3,0.6397,1.0862,978,True
023,60,1,1,3,0.7426,0.9982,972,True
023,60,2,1,3,0.7152,1.041,976,True
023,60,4,1,3,0.8255,1.0099,998,True
023,60,8,1,3,0.793,0.9401,1070,True
